town,trade,issued_date,street_masked,valuation
Foxborough,Renovation/Remodel,2026-08-31,Balcom Drive,4000.0
Foxborough,Gas,2026-08-31,Ridgewood Path,2500.0
Foxborough,Gas,2026-08-28,Central Street,4000.0
Foxborough,Renovation/Remodel,2026-08-28,Sullivan Way,4370.25
Foxborough,Plumbing,2026-08-28,South Street,1000.0
Foxborough,Plumbing,2026-08-28,Kinsman Way,18000.0
Foxborough,Gas,2026-08-28,Kinsman Way,5000.0
Foxborough,Plumbing,2026-08-28,Garfield Street,9000.0
Foxborough,Sign/Awning,2026-08-27,Foxborough Boulevard,6643.0
Foxborough,Building,2026-08-27,Spring Brook Road,26000.0
Foxborough,Gas,2026-08-27,South Street,675.0
Foxborough,Electrical,2026-08-27,North High Street,5000.0
Foxborough,Other,2026-08-27,Patriot Place,8145.0
Foxborough,Electrical,2026-08-27,Beaumonts Pond Drive,1500.0
Foxborough,Gas,2026-08-27,South High Street,2499.0
Foxborough,Plumbing,2026-08-27,Central Street,500.0
Foxborough,Electrical,2026-08-27,Patriot Place,2500.0
Foxborough,Plumbing,2026-08-26,Lawton Lane,1000.0
Foxborough,Plumbing,2026-08-26,Morse Street,2000.0
Foxborough,Electrical,2026-08-26,Rockhill Street,150.0
Foxborough,Renovation/Remodel,2026-08-26,Cobb Lane,10000.0
Foxborough,Renovation/Remodel,2026-08-25,North Street,18499.0
Foxborough,Building,2026-08-25,Patriot Place,420000.0
Foxborough,Renovation/Remodel,2026-08-25,Jennifer Lane,4596.0
Foxborough,Renovation/Remodel,2026-08-25,Clapp Drive,12700.0
Foxborough,Electrical,2026-08-25,South Street,990.0
Foxborough,Plumbing,2026-08-25,Mckenzie Lane,1000.0
Foxborough,Plumbing,2026-08-25,Creighton Avenue,1000.0
Foxborough,Electrical,2026-08-25,Borrows Road,5000.0
Foxborough,Renovation/Remodel,2026-08-25,Baker Street,20728.0
Foxborough,Renovation/Remodel,2026-08-25,Rockhill Street,70184.0
Foxborough,Electrical,2026-08-25,West Leonard Street,6000.0
Foxborough,Plumbing,2026-08-25,North Street,7500.0
Foxborough,Renovation/Remodel,2026-08-25,Birch Tree Road,12450.0
Foxborough,HVAC,2026-08-25,Patriot Place,150458.0
Foxborough,Electrical,2026-08-25,Abbie Lane,60000.0
Foxborough,Electrical,2026-08-24,Foxborough Boulevard,4500.0
Foxborough,Gas,2026-08-24,South Street,10930.0
Foxborough,Renovation/Remodel,2026-08-24,Goodwin Drive,85500.0
Foxborough,Electrical,2026-08-24,Garfield Street,500.0
Foxborough,Gas,2026-08-24,Cannon Forge Drive,500.0
